Type d'erreur	Erreur observée	Correction proposée	Fréquence dans l'échantillon	Frequence dans TGB	Date corpus	Date océrisation( voir gaël)	Remarque
Remplacement	cilé	cité					
Remplacement	cimlre-amiral	contre-amiral					
Remplacement	Cinciuante	Cinquante					
Remplacement	cinlaises	cimaises					
Remplacement	CINQUltIlE	CINQUIÈME					
Remplacement	circonscril	circonscrit					
Remplacement	circonslances	circonstances					
Remplacement	cireulaire	circulaire					
Remplacement	cireulaires	circulaires					
Remplacement	cirur	coeur					
Remplacement	cjunIiIés	qualités					
Remplacement	CJuny	Cluny					
Remplacement	cl	et					
Remplacement	Cl^ones	Cléones					
Remplacement	clement	Clément	1				
Remplacement	Clement	Clément	1				
Remplacement	Cli	Ch					
Remplacement	cli.irpenles	charpentes					
Remplacement	clia([ue	chaque					
Remplacement	cliacune	chacune					
Remplacement	Cliaiton	Charton					
Remplacement	cliapilre	chapitre					
Remplacement	Cliarlon	Charlon					
Remplacement	Cliaron	Charon					
Remplacement	Cliaron,	Charon,					
Remplacement	cliarpenle	charpente					
Remplacement	Cliarton	Charton					
Remplacement	cliefs-d'o'uvre	chefs-d’oeuvre					
Remplacement	clioi.v	choix					
Remplacement	clirétienne	chrétienne					
Remplacement	Cliypre	Chypre					
Concatenation	cloî- tre	cloître					
Remplacement	cluirpente	charpente					
Concatenation	Clytcmnes- tre	Clytemnestre					
Concatenation	cnhi net	cabinet					
Remplacement	cnlégorie	catégorie					
Remplacement	cnlever	enlever					
Remplacement	cnlrc	entre					
Remplacement	Cnnipana	Campana					
Remplacement	co(|uilles	coquilles					
Remplacement	co/npagnie	compagnie					
Remplacement	CO^TUMK	COSTUME					
Remplacement	coifTe	coiffe					
Remplacement	coii-lenir	contenir					
Remplacement	coiirliées	couchées					
Remplacement	Coiisidcj-c	considère					
Remplacement	coiisidérnlde	considérable					
Remplacement	coiiuiu'	comme					
Remplacement	COITE	CUITE					
Remplacement	colé	côté					
Remplacement	côlés	côtés					
Remplacement	collaliorateur	collaborateur					
Remplacement	collecti	collection					
Remplacement	Colliguon	Collignon					
Remplacement	collnhorait	collaborait					
Remplacement	color^es	colorées					
Remplacement	coloriage^	coloriage					
Concatenation	com- mence	commence					
Concatenation	Com« ment	Comment					
Remplacement	combal	combat					
Concatenation	combat- tre	combattre					
Remplacement	comblenl	comblent					
Remplacement	comparunt	comparant					
Remplacement	compl^tement	complètement					
Remplacement	complélé	complété					
Remplacement	completement	complètement	1				
Concatenation	con- tre	contre					
Remplacement	con(|uis	conquis					
Concatenation	concou- rir	concourir					
Remplacement	conde	Condé	15				
Remplacement	Conde	Condé	2				
Remplacement	Conduoteur	Conducteur					
Remplacement	confiaiu-e	confiance					
Remplacement	confrèrts	confrères					
Remplacement	coniplèlemenl	complètement					
Remplacement	Conipte	Compte					
Remplacement	conlmlait	contentait					
Remplacement	conlre-amiral	contre-amiral					
Remplacement	conlrtMe	contrôle					
Remplacement	connaî.tre	connaître					
Remplacement	connailre	connaitre					
Remplacement	connuissaienl	connaissaient					
Remplacement	consciller	conseiller					
Remplacement	consei-\ait	conservait					
Remplacement	"conservi""'"	conservé					
Remplacement	considerable	considérable	3				
Remplacement	considerables	considérables	1				
Remplacement	considerant	considérant	3				
Remplacement	Considerant	considérant	1				
Remplacement	consideration	considération	3				
Remplacement	considerations	considérations	3				
Remplacement	consideré	considéré	3				
Remplacement	considerée	considérée	1				
Remplacement	considerer	considérer	1				
Remplacement	considérnldemenl	considérablement					
Remplacement	conslilueiil	constituent					
Remplacement	conslruclions	constructions					
Remplacement	contest^	contesté					
Remplacement	contiscation	confiscation					
Remplacement	contrrjle	contrôle					
Remplacement	conven-lion	convention					
Remplacement	convercle	couvercle					
Remplacement	converte	couverte					
Remplacement	Corinthc	Corinthe					
Remplacement	correspondie	correspondre					
Remplacement	corrigei-	corriger					
Concatenation	cou Ire-amiral	contre-amiral					
Concatenation	cou- rir	courir					
Remplacement	coUaliorer	collaborer					
Remplacement	coUines	collines					
Remplacement	coulees	coulées					
Remplacement	coup.Lesouvriers	coup. Les ouvriers					
Remplacement	courarit	courant					
Remplacement	courroiè	courroie					
Remplacement	couvorte	couverte					
Remplacement	couvre.joinl	couvre-joint					
Remplacement	cp'il	qu’il					
Remplacement	cpi'	qu’					
Remplacement	cpie	que					
Remplacement	cpii	qui					
Remplacement	Crèle	Crète					
Remplacement	Crèli;	Crète					
Remplacement	crélois	crétois					
Remplacement	creusd	creusé					
Remplacement	crili((ue	critique					
Remplacement	crini^re	crinière					
Remplacement	criti(jue	critique					
Remplacement	croil	croit					
Remplacement	croiri'	croire					
Remplacement	CsbcuIus	Cœculus					
Remplacement	Cseculus	Cœculus					
Remplacement	csl	est					
Remplacement	cst	est					
Remplacement	Ct;tte	cette					
Remplacement	ctre	être					
Remplacement	cuile	cuite					
Remplacement	cuiles	cuites					
Remplacement	cùlé	côté					
Remplacement	cunnne	comme					
Remplacement	cxnminanl	examinant					
Concatenation	d cludier	d’étudier					
Remplacement	d.ms	dans					
Remplacement	d'.\théna	d’Athéna					
Remplacement	d'.Mfred	d’Alfred					
Remplacement	D'&THlNES	D’ATHÈNES					
Remplacement	d'a{>rès	d’après					
Remplacement	d'admellrc	d’admettre					
Remplacement	d'Alhéna	d’Athéna					
Remplacement	d'Alhènes	d’Athènes					
Remplacement	d'Alhùnes	d’Athènes					
Remplacement	d'allribuer	d’attribuer					
Remplacement	d'Allu-nes^	d’Athènes					
